Theta,Distance,Z
227.87,24.00,0
228.05,27.00,0
228.23,27.00,0
228.40,28.00,0
228.58,28.00,0
228.76,25.00,0
228.93,29.00,0
229.11,33.00,0
229.29,25.00,0
229.46,32.00,0
229.64,25.00,0
229.82,29.00,0
229.99,23.00,0
230.17,29.00,0
230.35,24.00,0
230.52,29.00,0
230.70,28.00,0
230.88,22.00,0
231.05,28.00,0
231.23,24.00,0
231.41,22.00,0
231.58,25.00,0
231.76,25.00,0
231.94,15.00,0
232.11,15.00,0
232.29,20.00,0
232.47,19.00,0
232.64,14.00,0
232.82,12.00,0
233.00,17.00,0
233.17,18.00,0
233.35,13.00,0
233.53,15.00,0
233.70,18.00,0
233.88,18.00,0
234.06,19.00,0
234.23,15.00,0
234.41,13.00,0
234.59,9.00,0
234.76,5.00,0
234.94,17.00,0
235.12,22.00,0
235.29,12.00,0
235.47,20.00,0
235.65,12.00,0
235.82,17.00,0
236.00,12.00,0
236.18,20.00,0
236.35,7.00,0
236.53,13.00,0
236.71,19.00,0
236.88,15.00,0
237.06,13.00,0
237.24,29.00,0
237.41,35.00,0
237.59,18.00,0
237.77,24.00,0
237.94,22.00,0
238.12,19.00,0
238.30,27.00,0
238.47,32.00,0
238.65,22.00,0
238.83,14.00,0
239.00,25.00,0
239.18,15.00,0
239.36,7.00,0
239.53,34.00,0
239.71,20.00,0
239.89,25.00,0
240.06,32.00,0
240.24,22.00,0
240.42,32.00,0
240.59,32.00,0
240.77,35.00,0
240.95,27.00,0
241.12,14.00,0
241.30,5.00,0
241.48,22.00,0
241.65,28.00,0
241.83,28.00,0
242.01,27.00,0
242.18,39.00,0
242.36,20.00,0
242.54,14.00,0
242.71,19.00,0
242.89,5.00,0
243.07,8.00,0
243.24,35.00,0
243.42,32.00,0
243.60,37.00,0
243.77,23.00,0
243.95,5.00,0
244.13,5.00,0
244.30,4.00,0
244.48,25.00,0
244.66,5.00,0
244.83,19.00,0
245.01,32.00,0
245.19,15.00,0
245.36,18.00,0
245.54,15.00,0
245.72,9.00,0
245.89,22.00,0
246.07,18.00,0
